_id,aisInfo.MessageID,aisInfo.RepeatIndicator,aisInfo.MMSI,aisInfo.aisVeisonIndicator,aisInfo.callSign,aisInfo.VesselName,aisInfo.shipType,aisInfo.Destination,aisInfo.navState,aisInfo.ROT,aisInfo.SOG,aisInfo.COG,aisInfo.Longitude,aisInfo.Latitude,aisInfo.PositionAccuracy,aisInfo.trueHeading,location[0],location[1],overtakenShipID,obstaclesID,_class,routeID,speed
1,1,1,a,a,1,Ship1,2,a,1,1,40.0,3.141592653589793,100.00010000000009,31,1,1,100.00010000000009,31,0,0,com.example.demo.entity.AIS,4,40.0
2,1,1,a,a,2,Ship2,1,a,1,1,40,-6.643570701684088e-8,100.00211999998832,30.00019999999867,1,1,100.00211999998832,30.00019999999867,0,0,com.example.demo.entity.AIS,3,40
3,1,1,a,a,3,Ship3,1,a,1,1,40,0.0000013901772052055053,100.00171999489376,30.000200000027796,1,1,100.00171999489376,30.000200000027796,0,0,com.example.demo.entity.AIS,3,40
4,1,1,a,a,4,Ship4,1,a,1,1,80,2.1745892477341493,100.828882,30.809657,1,1,100.828882,30.809657,0,0,com.example.demo.entity.AIS,14,80
5,1,1,a,a,5,Ship5,1,a,1,1,60,0.34568152700646293,100.826761,30.810624,1,1,100.826761,30.810624,0,0,com.example.demo.entity.AIS,11,60
6,1,1,a,a,6,Ship6,1,a,1,1,50,0.34568152700646293,100.827194,30.810786,1,1,100.827194,30.810786,0,0,com.example.demo.entity.AIS,12,50
7,1,1,a,a,7,Ship7,1,a,1,1,25,3.12,100.825523,30.810185,1,1,100.825523,30.810185,0,0,com.example.demo.entity.AIS,11,25
8,1,1,a,a,8,Ship8,1,a,1,1,50,3.14,100.824286,30.809727,1,1,100.824286,30.809727,0,0,com.example.demo.entity.AIS,12,50
9,1,1,a,a,9,Ship9,1,a,1,1,25,101,100.829055,30.809211,1,1,100.829055,30.809211,0,0,com.example.demo.entity.AIS,14,25
10,1,1,a,a,10,Ship10,1,a,1,1,25,3.12,100.823841,30.809548,1,1,100.823841,30.809548,0,0,com.example.demo.entity.AIS,11,25
11,1,1,a,a,11,Ship11,1,a,1,1,50,3.14,100.822904,30.809156,1,1,100.822904,30.809156,0,0,com.example.demo.entity.AIS,12,50
12,1,1,a,a,12,Ship12,1,a,1,1,15,101,100.829055,30.809211,1,1,100.829055,30.809211,0,0,com.example.demo.entity.AIS,15,15
13,1,1,a,a,13,Ship13,1,a,1,1,12,101,100.828882,30.809657,1,1,100.828882,30.809657,0,0,com.example.demo.entity.AIS,13,12
14,1,1,a,a,14,Ship14,1,a,1,1,30,3.12,100.825907,30.810316,1,1,100.825907,30.810316,0,0,com.example.demo.entity.AIS,11,30
20,1,1,a,a,20,Ship20,1,a,1,1,37,3,120.823369,30.809355,1,1,120.823369,30.809355,0,0,com.example.demo.entity.AIS,11,37
21,1,1,a,a,21,Ship21,1,a,1,1,22,3,120.823477,30.809359,1,1,120.823477,30.809359,0,0,com.example.demo.entity.AIS,11,22
22,1,1,a,a,22,Ship22,1,a,1,1,39,3,120.823585,30.809363,1,1,120.823585,30.809363,0,0,com.example.demo.entity.AIS,11,39
23,1,1,a,a,23,Ship23,1,a,1,1,42,3,120.823693,30.809367,1,1,120.823693,30.809367,0,0,com.example.demo.entity.AIS,11,42
24,1,1,a,a,24,Ship24,1,a,1,1,43,3,120.823801,30.809371,1,1,120.823801,30.809371,0,0,com.example.demo.entity.AIS,11,43
25,1,1,a,a,25,Ship25,1,a,1,1,26,3,120.823909,30.809375,1,1,120.823909,30.809375,0,0,com.example.demo.entity.AIS,11,26
26,1,1,a,a,26,Ship26,1,a,1,1,39,3,120.824017,30.809379,1,1,120.824017,30.809379,0,0,com.example.demo.entity.AIS,11,39
27,1,1,a,a,27,Ship27,1,a,1,1,47,3,120.824125,30.809383,1,1,120.824125,30.809383,0,0,com.example.demo.entity.AIS,11,47
28,1,1,a,a,28,Ship28,1,a,1,1,37,3,120.824233,30.809387,1,1,120.824233,30.809387,0,0,com.example.demo.entity.AIS,11,37
29,1,1,a,a,29,Ship29,1,a,1,1,31,3,120.824341,30.809391,1,1,120.824341,30.809391,0,0,com.example.demo.entity.AIS,11,31
30,1,1,a,a,30,Ship30,1,a,1,1,44,3,120.824449,30.809395,1,1,120.824449,30.809395,0,0,com.example.demo.entity.AIS,11,44
31,1,1,a,a,31,Ship31,1,a,1,1,33,3,120.824557,30.809399,1,1,120.824557,30.809399,0,0,com.example.demo.entity.AIS,11,33
32,1,1,a,a,32,Ship32,1,a,1,1,21,3,120.824665,30.809403,1,1,120.824665,30.809403,0,0,com.example.demo.entity.AIS,11,21
33,1,1,a,a,33,Ship33,1,a,1,1,36,3,120.824773,30.809407,1,1,120.824773,30.809407,0,0,com.example.demo.entity.AIS,11,36
34,1,1,a,a,34,Ship34,1,a,1,1,34,3,120.824881,30.809411,1,1,120.824881,30.809411,0,0,com.example.demo.entity.AIS,11,34
35,1,1,a,a,35,Ship35,1,a,1,1,40,3,120.824989,30.809415,1,1,120.824989,30.809415,0,0,com.example.demo.entity.AIS,11,40
36,1,1,a,a,36,Ship36,1,a,1,1,21,3,120.825097,30.809419,1,1,120.825097,30.809419,0,0,com.example.demo.entity.AIS,11,21
37,1,1,a,a,37,Ship37,1,a,1,1,32,3,120.825205,30.809423,1,1,120.825205,30.809423,0,0,com.example.demo.entity.AIS,11,32
38,1,1,a,a,38,Ship38,1,a,1,1,37,3,120.825313,30.809427,1,1,120.825313,30.809427,0,0,com.example.demo.entity.AIS,11,37
39,1,1,a,a,39,Ship39,1,a,1,1,46,3,120.825421,30.809431,1,1,120.825421,30.809431,0,0,com.example.demo.entity.AIS,11,46
40,1,1,a,a,40,Ship40,1,a,1,1,20,100,120.828327,30.811171,1,1,120.828327,30.811171,0,0,com.example.demo.entity.AIS,14,20
41,1,1,a,a,41,Ship41,1,a,1,1,23,100,120.828301,30.811241,1,1,120.828301,30.811241,0,0,com.example.demo.entity.AIS,15,23
42,1,1,a,a,42,Ship42,1,a,1,1,19,100,120.828275,30.811311,1,1,120.828275,30.811311,0,0,com.example.demo.entity.AIS,14,19
43,1,1,a,a,43,Ship43,1,a,1,1,16,100,120.828249,30.811381,1,1,120.828249,30.811381,0,0,com.example.demo.entity.AIS,15,16
44,1,1,a,a,44,Ship44,1,a,1,1,10,100,120.828223,30.811451,1,1,120.828223,30.811451,0,0,com.example.demo.entity.AIS,14,10
45,1,1,a,a,45,Ship45,1,a,1,1,12,100,120.828197,30.811521,1,1,120.828197,30.811521,0,0,com.example.demo.entity.AIS,15,12
46,1,1,a,a,46,Ship46,1,a,1,1,24,100,120.828171,30.811591,1,1,120.828171,30.811591,0,0,com.example.demo.entity.AIS,14,24
47,1,1,a,a,47,Ship47,1,a,1,1,18,100,120.828145,30.811661,1,1,120.828145,30.811661,0,0,com.example.demo.entity.AIS,15,18
48,1,1,a,a,48,Ship48,1,a,1,1,26,100,120.828119,30.811731,1,1,120.828119,30.811731,0,0,com.example.demo.entity.AIS,14,26
49,1,1,a,a,49,Ship49,1,a,1,1,17,100,120.828093,30.811801,1,1,120.828093,30.811801,0,0,com.example.demo.entity.AIS,15,17
50,1,1,a,a,50,Ship50,1,a,1,1,21,100,120.828067,30.811871,1,1,120.828067,30.811871,0,0,com.example.demo.entity.AIS,14,21
51,1,1,a,a,51,Ship51,1,a,1,1,24,100,120.828041,30.811941,1,1,120.828041,30.811941,0,0,com.example.demo.entity.AIS,15,24
